Top 15 Worst-Selling Items for Each café,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Low-Selling Products Comparison Across Three Cafés,,,,,,,,,,
store_location,product_detail,Total Sales,,store_location,product_detail,Total Sales,,store_location,product_detail,Total Sales
Eastern,Dark Chocolate,13,,Northern,Lemongrass,30,,Central,“I Need My Bean!” T-Shirt,24
,Earl Grey,30,,,Espresso Primo Roast,31,,,“I Need My Bean!” Mug,30
,Traditional Green Tea,31,,,Organic Guatemala,35,,,Spiced Green Tea Eye Opener,35
,Spiced Green Tea Eye Opener,37,,,Colombia Medium Roast,37,,,Serenity Green Tea,44
,Organic Guatemala,40,,,Mint,37,,,English Breakfast,48
,Lemongrass,42,,,Dark Chocolate,39,,,Chile,49
,Serenity Green Tea,42,,,Earl Grey,41,,,Jamaica,53
,Organic Decaf Blend,44,,,Jamaica,42,,,Colombia Medium Roast,54
,Civet Cat,45,,,Traditional Green Tea,44,,,Organic Guatemala,59
,Espresso Primo Roast,46,,,Espresso Roast,46,,,Mint,61
,Our Classic Blend,46,,,Morning Sunrise Green Tea,48,,,Ethiopia,64
,Chile,47,,,Our Classic Blend,48,,,“I Need My Bean!” Cup,65
,Organic Brazil,47,,,Spiced Green Tea Eye Opener,50,,,Dark Chocolate,66
,Organic,50,,,Civet Cat,51,,,Morning Sunrise Green Tea,68
,Espresso Roast,51,,,Chile,52,,,Earl Grey,71
,Jamaica,51,,,English Breakfast,58,,,Espresso Roast,72
,Morning Sunrise Green Tea,52,,,Serenity Green Tea,73,,,Espresso Primo Roast,73
,English Breakfast,55,,,Organic Decaf Blend,75,,,Organic Brazil,75
,Mint,55,,,Ethiopia,79,,,Traditional Green Tea,78
,Colombia Medium Roast,57,,,“I Need My Bean!” T-Shirt,86,,,Lemongrass,80
,“I Need My Bean!” Mug,66,,,Organic,89,,,Organic,82
,Ethiopia,75,,,Organic Brazil,92,,,Organic Decaf Blend,87
,“I Need My Bean!” Cup,102,,,“I Need My Bean!” Mug,144,,,Our Classic Blend,89
,“I Need My Bean!” T-Shirt,111,,,“I Need My Bean!” Cup,148,,,Civet Cat,164
,Hazelnut Syrup,434,,,Ginger Biscotti,540,,,Oatmeal Bun,521
,Caramel Syrup,535,,,Scottish Cream Bun,601,,,Chocolate Chip Biscotti,546
,Sugar-Free Vanilla Syrup,567,,,Almond Croissant,642,,,Giant Savory Bun,607
,Scottish Cream Bun,603,,,Oatmeal Bun,646,,,Croissant,612
,Croissant,606,,,Cranberry Bun,687,,,Almond Croissant,646
,Almond Croissant,623,,,Hazelnut Biscotti,709,,,Hazelnut Biscotti,655
,Ginger Biscotti,639,,,Giant Savory Bun,721,,,Ginger Biscotti,657
,Ginger Bun,648,,,Chocolate Chip Biscotti,726,,,Cranberry Bun,720
,Chocolate Chip Biscotti,652,,,Croissant,736,,,Scottish Cream Bun,781
,Oatmeal Bun,653,,,Ginger Bun,1001,,,Hazelnut Syrup,867
,Hazelnut Biscotti,664,,,Chocolate Croissant,1031,,,Chocolate Syrup,889
,Chocolate Syrup,670,,,Hazelnut Syrup,1071,,,Ginger Bun,891
,Cranberry Bun,685,,,Caramel Syrup,1098,,,Sugar-Free Vanilla Syrup,897
,Giant Savory Bun,700,,,Chocolate Syrup,1099,,,Caramel Syrup,943
,Chocolate Croissant,1023,,,Our Classic Blend (Large),1133,,,Chocolate Croissant,1042
,Ethiopia (Large),1308,,,Jamaica (Medium),1200,,,Jamaica (Small),1235
,Jamaica (Small),1323,,,Colombia Medium Roast (Small),1217,,,Jamaica (Medium),1241
,English Breakfast (Medium),1339,,,Dark Chocolate (Medium),1231,,,Dark Chocolate (Medium),1263
,Lemongrass (Large),1377,,,Green Tea Traditional (Large),1239,,,Cappuccino (Large),1297
,English Breakfast (Large),1388,,,Spiced Green Tea Eye Opener (Medium),1275,,,Earl Grey (Large),1302
,Brazil (Small),1396,,,Espresso Shot,1300,,,Colombia Medium Roast (Large),1308
,Cappuccino,1409,,,Lemongrass (Large),1307,,,English Breakfast (Medium),1311
,Serenity Green Tea (Medium),1410,,,Serenity Green Tea (Large),1327,,,Ethiopia (Small),1323
,Brazil (Large),1416,,,Organic (Large),1329,,,Our Classic Blend (Large),1341
,Ethiopia (Medium),1418,,,Brazil (Large),1349,,,Mint Tea (Large),1346
,Mint Tea (Large),1422,,,Morning Sunrise Green Tea (Large),1356,,,Jamaica (Large),1348
,Colombia Medium Roast (Large),1437,,,Our Classic Blend (Small),1359,,,Spiced Green Tea Eye Opener (Medium),1376
,Espresso Shot,1437,,,Spiced Green Tea Eye Opener (Large),1365,,,Mint Tea (Medium),1396
,Earl Grey (Large),1439,,,Ethiopia (Large),1367,,,Lemongrass (Large),1405
,Cappuccino (Large),1442,,,Cappuccino,1370,,,Serenity Green Tea (Large),1405
,Our Classic Blend (Medium),1479,,,English Breakfast (Large),1392,,,Spiced Green Tea Eye Opener (Large),1405
,Lemongrass (Medium),1481,,,Brazil (Small),1394,,,Lemongrass (Medium),1408
,Green Tea Traditional (Large),1482,,,Brazil (Medium),1407,,,Colombia Medium Roast (Medium),1411
,Serenity Green Tea (Large),1488,,,Ouro Brasileiro Espresso Shot,1408,,,Morning Sunrise Green Tea (Large),1413
,Latte (Medium),1496,,,Cappuccino (Large),1412,,,Organic (Medium),1414
,Organic (Medium),1502,,,Organic (Medium),1413,,,Colombia Medium Roast (Small),1418
,Dark Chocolate (Medium),1513,,,Lemongrass (Medium),1436,,,Espresso Shot,1428
,Spiced Green Tea Eye Opener (Medium),1520,,,Sugar-Free Vanilla Syrup,1441,,,Brazil (Medium),1446
,Our Classic Blend (Large),1523,,,Traditional Green Tea (Medium),1445,,,Our Classic Blend (Medium),1451
,Brazil (Medium),1532,,,Colombia Medium Roast (Large),1450,,,Dark Chocolate (Large),1452
,Colombia Medium Roast (Small),1543,,,Jamaica (Small),1460,,,Green Tea Traditional (Large),1453
,Morning Sunrise Green Tea (Medium),1545,,,Dark Chocolate (Large),1461,,,Ethiopia (Medium),1460
,Traditional Green Tea (Medium),1548,,,Earl Grey (Medium),1461,,,Cappuccino,1487
,Jamaica (Large),1551,,,Serenity Green Tea (Medium),1466,,,Latte (Medium),1498
,Latte,1561,,,Our Classic Blend (Medium),1480,,,Latte,1500
,Our Classic Blend (Small),1575,,,Ethiopia (Small),1491,,,Traditional Green Tea (Medium),1519
,Jamaica (Medium),1577,,,Mint Tea (Medium),1495,,,Brazil (Small),1520
,Morning Sunrise Green Tea (Large),1577,,,Jamaica (Large),1496,,,Earl Grey (Medium),1522
,Organic (Large),1581,,,Latte (Medium),1503,,,English Breakfast (Large),1529
,Colombia Medium Roast (Medium),1613,,,Earl Grey (Large),1504,,,Organic (Large),1543
,Ethiopia (Small),1619,,,Morning Sunrise Green Tea (Medium),1509,,,Our Classic Blend (Small),1550
,Spiced Green Tea Eye Opener (Large),1634,,,Ethiopia (Medium),1515,,,Brazil (Large),1552
,Mint Tea (Medium),1673,,,Colombia Medium Roast (Medium),1523,,,Ethiopia (Large),1552
,Earl Grey (Medium),1725,,,Latte,1541,,,Morning Sunrise Green Tea (Medium),1589
,Dark Chocolate (Large),1755,,,English Breakfast (Medium),1550,,,Serenity Green Tea (Medium),1601
Totaal van Eastern ,,70991,,,Mint Tea (Large),1582,,,Ouro Brasileiro Espresso Shot,1854
Eindtotaal,,70991,,Totaal van Northern ,,71742,,Totaal van Central ,,71737
,,,,Eindtotaal,,71742,,Eindtotaal,,71737